task_name,priority,rem_days,criticality,time_required,impact_scope,urgency,category,category_0,category_1,category_2,category_3,category_4
新規プロジェクトのキックオフミーティング資料を準備,99.0,1.0,4,4.0,3,96.0,仕事,1,0,0,0,0
顧客Eへの納品データ最終確認,98.7,1.0,4,2.0,3,48.0,仕事,1,0,0,0,0
サービスの不具合報告をまとめて開発に共有,98.5,1.0,4,2.0,2,48.0,仕事,1,0,0,0,0
適性検査を受講する,98.3,1.0,4,1.5,0,36.0,学業,0,0,1,0,0
ワークショップの最終準備,97.4,0.5,2,1.5,2,72.0,学業,0,1,0,0,0
納期前チェックリストを完成させる,96.2,1.0,3,2.0,3,48.0,仕事,1,0,0,0,0
システム障害報告をまとめて提出,96.0,1.0,4,2.0,3,48.0,仕事,1,0,0,0,0
セミナー登壇用のスライドを最終修正,95.0,1.0,4,1.3,3,31.2,仕事,1,0,0,0,0
会議議事録をまとめて共有,94.7,1.0,3,1.5,2,36.0,仕事,1,0,0,0,0
開発チームと仕様確認ミーティングを行う,94.5,1.0,3,1.0,2,24.0,仕事,1,0,0,0,0
顧客Cの定例報告書を作成,94.0,2.0,3,4.0,3,48.0,仕事,1,0,0,0,0
取引先への支払い申請を完了,94.0,2.0,4,1.0,2,12.0,仕事,1,0,0,0,0
顧客フォローの電話をかける,94.0,1.0,3,0.5,3,12.0,仕事,1,0,0,0,0
新規案件の見積書を作成する,93.4,3.0,3,3.0,2,24.0,仕事,1,0,0,0,0
クライアントAへの提案資料を完成させる,93.3,2.0,3,5.0,3,60.0,仕事,1,0,0,0,0
クライアントDとの定例ミーティング議事録作成,93.3,1.0,3,1.5,3,36.0,仕事,1,0,0,0,0
開発チームのコードレビューを実施,93.0,2.0,3,3.0,2,36.0,仕事,1,0,0,0,0
経費申請書の承認依頼を出す,93.0,2.0,4,0.5,3,6.0,仕事,1,0,0,0,0
チームメンバーのタスク進捗を確認,92.5,1.0,3,1.0,2,24.0,仕事,1,0,0,0,0
新システム導入のテスト実施,92.2,3.0,4,4.0,3,32.0,仕事,1,0,0,0,0
